team_1,team_2,runs_left,balls_left,wickets_left,Targets,crr,rrr,last_five,win
Islamabad United,Quetta Gladiators,128,119,10,128,0.0,6.453781512605042,19.0,1
Islamabad United,Quetta Gladiators,128,118,10,128,0.0,6.508474576271186,20.0,1
Islamabad United,Quetta Gladiators,128,117,10,128,0.0,6.564102564102564,15.0,1
Islamabad United,Quetta Gladiators,126,116,10,128,1.2000000000000002,6.517241379310345,13.0,1
Islamabad United,Quetta Gladiators,126,115,10,128,1.0909090909090908,6.57391304347826,14.0,1
Islamabad United,Quetta Gladiators,122,114,10,128,3.0,6.421052631578948,15.0,1
Islamabad United,Quetta Gladiators,121,113,10,128,3.230769230769231,6.424778761061948,16.0,1
Islamabad United,Quetta Gladiators,121,112,10,128,3.0,6.482142857142857,16.0,1
Islamabad United,Quetta Gladiators,117,111,10,128,4.4,6.324324324324325,17.0,1
Islamabad United,Quetta Gladiators,116,110,10,128,4.5,6.327272727272728,17.0,1
Islamabad United,Quetta Gladiators,112,109,10,128,5.647058823529411,6.1651376146788985,17.0,1
Islamabad United,Quetta Gladiators,108,108,10,128,6.666666666666667,6.0,17.0,1
Islamabad United,Quetta Gladiators,102,107,10,128,8.210526315789474,5.719626168224299,16.0,1
Islamabad United,Quetta Gladiators,96,106,10,128,9.6,5.433962264150943,20.0,1
Islamabad United,Quetta Gladiators,95,105,10,128,9.428571428571429,5.428571428571429,22.0,1
Islamabad United,Quetta Gladiators,95,104,10,128,9.0,5.480769230769231,23.0,1
Islamabad United,Quetta Gladiators,93,103,10,128,9.130434782608695,5.417475728155339,25.0,1
Islamabad United,Quetta Gladiators,93,102,10,128,8.75,5.470588235294118,28.0,1
Islamabad United,Quetta Gladiators,89,101,10,128,9.36,5.287128712871287,29.0,1
Islamabad United,Quetta Gladiators,85,100,10,128,9.923076923076923,5.1,29.0,1
Islamabad United,Quetta Gladiators,83,99,10,128,10.0,5.03030303030303,30.0,1
Islamabad United,Quetta Gladiators,79,98,10,128,10.5,4.836734693877552,28.0,1
Islamabad United,Quetta Gladiators,75,97,10,128,10.965517241379311,4.639175257731958,28.0,1
Islamabad United,Quetta Gladiators,75,96,10,128,10.6,4.6875,29.0,1
Islamabad United,Quetta Gladiators,75,95,10,128,10.258064516129032,4.736842105263158,30.0,1
Islamabad United,Quetta Gladiators,75,94,10,128,9.9375,4.787234042553191,31.0,1
Islamabad United,Quetta Gladiators,75,93,9,128,9.636363636363637,4.838709677419355,30.0,1
Islamabad United,Quetta Gladiators,75,92,9,128,9.352941176470587,4.891304347826087,29.0,1
Islamabad United,Quetta Gladiators,74,91,9,128,9.257142857142858,4.879120879120879,31.0,1
Islamabad United,Quetta Gladiators,74,90,9,128,9.0,4.933333333333334,30.0,1
Islamabad United,Quetta Gladiators,73,89,9,128,8.91891891891892,4.921348314606742,31.0,1
Islamabad United,Quetta Gladiators,73,88,9,128,8.68421052631579,4.977272727272727,30.0,1
Islamabad United,Quetta Gladiators,72,87,9,128,8.615384615384615,4.9655172413793105,29.0,1
Islamabad United,Quetta Gladiators,72,86,9,128,8.4,5.023255813953488,30.0,1
Islamabad United,Quetta Gladiators,72,85,9,128,8.195121951219512,5.08235294117647,29.0,1
Islamabad United,Quetta Gladiators,71,84,9,128,8.142857142857142,5.071428571428571,28.0,1
Islamabad United,Quetta Gladiators,70,84,9,128,8.285714285714286,5.0,30.0,1
Islamabad United,Quetta Gladiators,69,83,9,128,8.232558139534884,4.987951807228916,29.0,1
Islamabad United,Quetta Gladiators,68,82,9,128,8.181818181818182,4.975609756097561,34.0,1
Islamabad United,Quetta Gladiators,67,81,9,128,8.133333333333333,4.962962962962963,35.0,1
Islamabad United,Quetta Gladiators,67,80,9,128,7.956521739130435,5.025,35.0,1
Islamabad United,Quetta Gladiators,66,79,9,128,7.914893617021277,5.0126582278481004,35.0,1
Islamabad United,Quetta Gladiators,66,78,9,128,7.75,5.076923076923077,37.0,1
Islamabad United,Quetta Gladiators,65,77,9,128,7.714285714285714,5.064935064935065,33.0,1
Islamabad United,Quetta Gladiators,64,76,9,128,7.68,5.052631578947369,32.0,1
Islamabad United,Quetta Gladiators,62,75,9,128,7.764705882352941,4.96,32.0,1
Islamabad United,Quetta Gladiators,62,74,9,128,7.615384615384616,5.027027027027027,31.0,1
Islamabad United,Quetta Gladiators,61,73,9,128,7.584905660377358,5.013698630136987,27.0,1
Islamabad United,Quetta Gladiators,60,72,9,128,7.555555555555555,5.0,32.0,1
Islamabad United,Quetta Gladiators,60,72,9,128,7.555555555555555,5.0,33.0,1
Islamabad United,Quetta Gladiators,56,71,9,128,7.854545454545455,4.732394366197183,36.0,1
Islamabad United,Quetta Gladiators,56,70,9,128,7.7142857142857135,4.8,40.0,1
Islamabad United,Quetta Gladiators,55,69,9,128,7.684210526315789,4.782608695652174,46.0,1
Islamabad United,Quetta Gladiators,55,68,8,128,7.551724137931035,4.852941176470588,49.0,1
Islamabad United,Quetta Gladiators,55,67,8,128,7.423728813559322,4.925373134328359,48.0,1
Islamabad United,Quetta Gladiators,54,66,8,128,7.4,4.909090909090909,50.0,1
Islamabad United,Quetta Gladiators,53,65,8,128,7.3770491803278695,4.892307692307692,27.0,1
Islamabad United,Quetta Gladiators,52,64,8,128,7.354838709677419,4.875,27.0,1
Islamabad United,Quetta Gladiators,51,63,8,128,7.333333333333333,4.857142857142857,32.0,1
Islamabad United,Quetta Gladiators,47,62,8,128,7.59375,4.548387096774193,32.0,1
Islamabad United,Quetta Gladiators,46,61,8,128,7.569230769230769,4.524590163934427,35.0,1
Islamabad United,Quetta Gladiators,42,60,8,128,7.818181818181818,4.2,36.0,1
Islamabad United,Quetta Gladiators,36,59,8,128,8.238805970149254,3.661016949152542,38.0,1
Islamabad United,Quetta Gladiators,35,58,8,128,8.205882352941176,3.620689655172414,38.0,1
Islamabad United,Quetta Gladiators,35,57,8,128,8.08695652173913,3.6842105263157894,38.0,1
Islamabad United,Quetta Gladiators,34,56,8,128,8.057142857142857,3.642857142857143,37.0,1
Islamabad United,Quetta Gladiators,34,55,8,128,7.943661971830985,3.7090909090909094,37.0,1
Islamabad United,Quetta Gladiators,33,54,8,128,7.916666666666667,3.6666666666666665,38.0,1
Islamabad United,Quetta Gladiators,32,53,8,128,7.89041095890411,3.622641509433962,31.0,1
Islamabad United,Quetta Gladiators,31,52,8,128,7.864864864864865,3.576923076923077,30.0,1
Islamabad United,Quetta Gladiators,31,51,8,128,7.76,3.6470588235294117,30.0,1
Islamabad United,Quetta Gladiators,31,50,8,128,7.657894736842105,3.7199999999999998,30.0,1
Islamabad United,Quetta Gladiators,30,49,8,128,7.636363636363636,3.673469387755102,30.0,1
Islamabad United,Quetta Gladiators,28,48,8,128,7.6923076923076925,3.5,29.0,1
Islamabad United,Quetta Gladiators,28,47,8,128,7.59493670886076,3.574468085106383,,1
Islamabad United,Quetta Gladiators,24,46,8,128,7.8,3.130434782608696,,1
Islamabad United,Quetta Gladiators,23,45,8,128,7.777777777777778,3.066666666666667,,1
Islamabad United,Quetta Gladiators,23,44,8,128,7.682926829268293,3.1363636363636362,,1
Islamabad United,Quetta Gladiators,23,43,8,128,7.590361445783132,3.2093023255813957,,1
Islamabad United,Quetta Gladiators,22,42,8,128,7.571428571428571,3.142857142857143,,1
Islamabad United,Quetta Gladiators,22,41,8,128,7.482352941176471,3.219512195121951,,1
Islamabad United,Quetta Gladiators,21,40,8,128,7.465116279069767,3.1500000000000004,,1
Islamabad United,Quetta Gladiators,19,39,8,128,7.517241379310345,2.923076923076923,,1
Islamabad United,Quetta Gladiators,19,38,8,128,7.4318181818181825,2.9999999999999996,,1
Islamabad United,Quetta Gladiators,18,37,8,128,7.415730337078651,2.9189189189189193,,1
Islamabad United,Quetta Gladiators,14,36,8,128,7.6,2.3333333333333335,,1
Islamabad United,Quetta Gladiators,14,36,8,128,7.6,2.3333333333333335,,1
Islamabad United,Quetta Gladiators,13,35,8,128,7.582417582417583,2.228571428571428,,1
Islamabad United,Quetta Gladiators,13,34,8,128,7.5,2.294117647058824,27.0,1
Islamabad United,Quetta Gladiators,12,33,8,128,7.483870967741935,2.1818181818181817,25.0,1
Islamabad United,Quetta Gladiators,12,32,8,128,7.404255319148937,2.2499999999999996,24.0,1
